1.0,Name,As self,As role
0.769231,"Maurer, Thomas (II)",120,36
0.769231,"Landis, John (I)",160,48
0.769231,"Call, Anthony D.",160,48
0.766497,"Pohlhammer, John",151,46
0.765217,"Hoffman, Dustin",352,108
0.764398,"Bang, Carsten (II)",146,45
0.764012,"Cage, Nicolas",259,80
0.762376,"Del Toro, Benicio",154,48
0.762178,"Lopez, Mario (I)",1064,332
0.760563,"Niavarani, Michael",270,85
0.760148,"Bogdanovich, Peter",206,65
0.758197,"Norton, Jim (II)",185,59
0.757353,"Jensen, Tomas Villum",103,33
0.757143,"Reeve, Christopher",159,51
0.757085,"Mortensen, Viggo",187,60
0.757075,"Huijbregts, Marc-Marie",321,103
0.756522,"Stiller, Ben",435,140
0.756272,"Penn, Sean (I)",211,68
0.756098,"Rodriguez, Jai (I)",186,60
0.755814,"Pearce, Jonathan (I)",130,42
0.755556,"Gasalla, Antonio",102,33
0.754342,"Smothers, Tom",304,99
0.754032,"Coll, Josי Luis",187,61
0.753676,"Vaughn, Vince (I)",205,67
0.753623,"Rudnick, Hal",104,34
0.753425,"Bale, Christian",165,54
0.752874,"Boujenah, Michel",131,43
0.752669,"Biggins, Christopher (I)",423,139
0.751852,"Moschitta Jr., John",203,67
0.751634,"Mencia, Carlos",115,38
0.751269,"Leto, Jared",148,49
0.750973,"Hill, Jonah",193,64
0.750865,"Broderick, Matthew (I)",217,72
0.750383,"McHale, Joel",490,163
0.749117,"Meat Loaf",212,71
0.74812,"Grant, Hugh (I)",199,67
0.747863,"Pacino, Al (I)",175,59
0.747029,"Rickles, Don",440,149
0.746725,"Snider, Dee (I)",171,58
0.746528,"Common",215,73
0.746,"Downey Jr., Robert",373,127
0.745856,"Pine, Chris (I)",135,46
0.745763,"Godard, Jean-Luc",132,45
0.745318,"Law, Jude",199,68
0.74477,"Reiner, Carl",534,183
0.744565,"Timsit, Patrick",137,47
0.743448,"Smith, Will (I)",539,186
0.742991,"Rubianes, Pepe",159,55
0.742972,"Chabat, Alain",185,64
0.742574,"Carbonell, Pablo",375,130
0.742547,"Bridges, Jeff (I)",274,95
0.741007,"Holder, Noddy (I)",103,36
0.740458,"Woodley, Frank",97,34
0.739514,"De Niro, Robert",335,118
0.739414,"Sklar, Randy (I)",227,80
0.739394,"Lynch, David (I)",122,43
0.738007,"Corden, James (I)",400,142
0.737631,"Crystal, Billy",492,175
0.73743,"Grאcia, Joan",132,47
0.737226,"Eldin, Cyrille",101,36
0.736842,"Hildebrandt, Dieter (I)",98,35
0.736661,"Sandler, Adam (I)",428,153
0.735714,"Selwyn, Zach",309,111
0.732558,"Hawke, Ethan",189,69
0.73224,"Lautner, Taylor",134,49
0.731429,"Walkow, Brett",128,47
0.73125,"Quinn, Ray (IV)",117,43
0.73125,"Hutcherson, Josh",117,43
0.731034,"Daltrey, Roger",212,78
0.730853,"Proops, Greg",334,123
0.729927,"Redmayne, Eddie",100,37
0.729927,"Cramer, John (I)",200,74
0.728972,"Jonas, Nick",234,87
0.728863,"Robbins, Tim (I)",250,93
0.728477,"Himura, Yki",110,41
0.728324,"McGregor, Ewan",252,94
0.728055,"Parsons, Nicholas",423,158
0.728045,"Douglas, Kirk (I)",257,96
0.727915,"Favreau, Jon",206,77
0.727711,"Yates, Reggie",302,113
0.7277,"Cook, Dane",155,58
0.727536,"Jackson, Samuel L.",502,188
0.727273,"Pavarotti, Luciano",120,45
0.726962,"Corbacho, Josי",426,160
0.726651,"Stein, Ben (I)",319,120
0.726351,"Douglas, Michael (I)",430,162
0.726087,"Villalpando, David",167,63
0.725962,"Moss, Shad",151,57
0.725806,"Gilbert, Russell (I)",90,34
0.72549,"Eckhart, Aaron",111,42
0.725146,"Gabriel, Jorge (I)",124,47
0.7251,"Garrett, Leif",182,69
0.724796,"Foxworthy, Jeff",266,101
0.72449,"Cantone, Mario",142,54
0.724242,"Bozard, Nash",239,91
0.723926,"Deayton, Angus",354,135
0.723906,"Nicholson, Jack (I)",215,82
0.723684,"Scott, Seann William",110,42
0.723636,"Mack, Lee (I)",199,76
0.723077,"Mir, Paco",141,54
0.722973,"Herzog, Werner (I)",107,41
0.722656,"Whitehall, Jack",185,71
0.722603,"Williams, Robin (I)",633,243
0.722222,"Reyes, Pedro (I)",403,155
0.722222,"Esteso, Fernando",104,40
0.722222,"Batra, David",104,40
0.721649,"Addison, Chris (I)",140,54
0.721311,"Walko, Jude S.",88,34
0.72119,"Farrell, Colin (I)",194,75
0.721058,"Carell, Steve",654,253
0.720779,"Jimיnez, Goyo",111,43
0.72,"Crivelli, Jorge",162,63
0.719697,"Slater, Kelly (I)",95,37
0.71875,"Sans, Carles (I)",138,54
0.718499,"Elwood, Graham",268,105
0.717949,"Tsuruno, Takeshi",84,33
0.717557,"Bledsoe, Ben",94,37
0.717172,"Poitier, Sidney",142,56
0.716535,"Aminati, Daniel",91,36
0.716312,"Motson, John",101,40
0.716049,"Markl, Nuno",116,46
0.715909,"Robinson, Tony (I)",504,200
0.715847,"Pollack, Sydney",131,52
0.715385,"Day-Lewis, Daniel",93,37
0.715356,"Gilliam, Terry",191,76
0.715328,"Castel, Carlos",196,78
0.714286,"Thornton, Dave",85,34
0.712195,"McIntyre, Joey",146,59
0.711628,"Wilson, Owen (I)",153,62
0.710366,"Newman, Paul (I)",233,95
0.710204,"Merad, Kad",174,71
0.70997,"Voutilainen, Jukka (I)",235,96
0.709924,"Pיrez, Diego (I)",93,38
0.709497,"Yankovic, 'Weird Al'",254,104
0.708955,"Dorset, Sebastian",95,39
0.708551,"Depp, Johnny",406,167
0.70826,"Ferreסo, Andoni",403,166
0.707514,"Clooney, George",612,253
0.707143,"Craig, Daniel (I)",198,82
0.706897,"Travis, Randy (I)",123,51
0.706897,"Evans, Chris (V)",123,51
0.705882,"Oddie, Bill",288,120
0.705696,"Suzuki, Ryפhei (I)",223,93
0.704663,"Hughes, Sean (I)",136,57
0.703822,"Harwood, Barney",221,93
0.703786,"Bacon, Kevin (I)",316,133
0.703297,"Ehring, Christian",192,81
0.702312,"Connery, Sean",243,103
0.701657,"Troyer, Verne",127,54
0.701493,"Segura, Santiago (I)",329,140
0.701299,"Bentley, Marcus (II)",486,207
0.701149,"Markie, Biz",122,52
0.701133,"Rock, Chris (I)",495,211
0.701087,"Mercurio, Paul",129,55
0.700855,"Kaelin, Kato",82,35
0.700637,"Statham, Jason",110,47
0.700599,"Sexton, Mike (III)",117,50
0.699387,"Reeves, Keanu",228,98
0.69898,"Pop, Iggy",137,59
0.698864,"Kitano, Takeshi",123,53
0.698795,"Isaak, Chris",174,75
0.698492,"Lopez, George (I)",417,180
0.697446,"Black, Jack (I)",355,154
0.696682,"Renner, Jeremy",147,64
0.695364,"Bettany, Paul",105,46
0.69469,"Mocky, Jean-Pierre",157,69
0.694444,"Valdיs, Alexis (I)",100,44
0.694444,"Jones, Jason (I)",300,132
0.693694,"Fujii, Takashi (I)",77,34
0.692875,"Chan, Jackie (I)",282,125
0.692852,"McMahon, Vince",882,391
0.692421,"Gaglioti, Rocco Leo",941,418
0.691964,"Fielding, Noel",155,69
0.691176,"Lavoine, Marc",141,63
0.691176,"Collins-Moore, Richard",94,42
0.690987,"Ruffalo, Mark",161,72
0.690867,"Cilauro, Santo",295,132
0.690608,"Izzard, Eddie",250,112
0.689655,"Rollins, Henry",200,90
0.689655,"Maguire, Tobey",140,63
0.689441,"Falk, Stephen (I)",111,50
0.688889,"Bakkum, Jim",93,42
0.686747,"Scheuba, Florian",114,52
0.685969,"Stewart, James (I)",308,141
0.684615,"Rainey, Jon Douglas",89,41
0.684564,"Vincent, Tim (I)",102,47
0.684028,"Hall, Rich (I)",197,91
0.683333,"Benjamin, Andrי",82,38
0.683274,"Chaplin, Charles",192,89
0.68319,"Spacey, Kevin",317,147
0.682927,"Bonet, Juanra",252,117
0.682737,"Seinfeld, Jerry",439,204
0.681818,"Butler, Gerard",165,77
0.680952,"Lck, Ingolf",143,67
0.680921,"Llewellyn, Robert (I)",207,97
0.680556,"Flav, Flavor",196,92
0.678899,"Nankervis, Brian",148,70
0.678832,"David, Charlie (I)",93,44
0.678261,"Kצrberg, Tommy",78,37
0.677419,"Cristovao, Ben",84,40
0.676856,"Resetarits, Lukas",155,74
0.676692,"Klan, Rune",90,43
0.675439,"Braunohler, Kurt",77,37
0.675325,"Simpson, O.J.",208,100
0.6736,"Mochrie, Colin",421,204
0.673469,"Shore, Pauly",132,64
0.673307,"Sklar, Jason (I)",169,82
0.673267,"Tiuseco, JC",68,33
0.673008,"Snoop Dogg",566,275
0.671958,"Martםn, Dani (I)",127,62
0.671875,"Brown, Jim (I)",129,63
0.67148,"Taylor, Rip",186,91
0.671362,"Lףpez, Sergi (I)",143,70
0.67052,"Leppilampi, Mikko",116,57
0.67027,"Rogen, Seth",248,122
0.67027,"McGrath, Rory",124,61
0.67027,"Fary, El",124,61
0.669737,"Foxx, Jamie",509,251
0.669421,"Majף, Enric",162,80
0.669014,"Eichner, Billy",95,47
0.668981,"Neeson, Liam",289,143
0.668904,"Cooper, Bradley (I)",299,148
0.66875,"Welles, Orson",321,159
0.668675,"Dorfer, Alfred",111,55
0.668182,"Manzano, Luis",147,73
0.668182,"Anderson, Louie (I)",147,73
0.668161,"Merchant, Stephen",149,74
0.667674,"Connolly, Billy (I)",221,110
0.666667,"Meyers, Eric (II)",106,53
0.666667,"Gianola, Fabiבn",70,35
0.666667,"Firth, Colin",192,96
0.666667,"Evangelista, Paco (I)",236,118
0.665354,"Darםn, Ricardo",169,85
0.664975,"Vine, Tim",131,66
0.664921,"Diego, Gabino",127,64
0.664773,"Wright, Steven (I)",117,59
0.664596,"Garcia, Josי (I)",107,54
0.664179,"Nakai, Masahiro",89,45
0.663717,"Iglesias, Gabriel (IV)",75,38
0.663551,"Sumaya Jr., Albert",71,36
0.663551,"Hader, Josef",71,36
0.663366,"Stelter, Bernd",67,34
0.663366,"Ilic, Dan",67,34
0.663366,"Alcasid, Ogie",67,34
0.663043,"Hoכcker, Bernhard",427,217
0.662679,"Reeves, Vic",277,141
0.6625,"Ventura, Jesse (I)",265,135
0.662281,"Rourke, Mickey",151,77
0.662021,"Carrey, Jim",380,194
0.661905,"Nokubo, Naoki",139,71
0.661538,"Garcia, Andy (I)",172,88
0.661451,"Armstrong, Alexander",465,238
0.661088,"Larry the Cable Guy",158,81
0.661017,"Waes, Tom",78,40
0.660819,"Dalmau, ׂscar",113,58
0.66055,"Nordman, Joonas",72,37
0.660099,"Chabrol, Claude",134,69
0.66,"Johansson, Ilari",66,34
0.659898,"Hoffman, Philip Seymour",130,67
0.659574,"Klein, Robert (I)",248,128
0.657658,"Swayze, Patrick",146,76
0.657459,"Brody, Adrien",119,62
0.657143,"Mercer, Rick",184,96
0.656827,"Semoun, Elie",178,93
0.656566,"Odoom, Melvin",65,34
0.656,"Aldבn, Eduardo",82,43
0.655844,"Phoenix, Joaquin",101,53
0.655678,"Lundgren, Dolph",179,94
0.655367,"Haapasalo, Ville",116,61
0.65493,"RZA",93,49
0.654545,"Mackie, Anthony",108,57
0.654054,"Dillon, Matt (I)",121,64
0.653226,"Waalkes, Otto",81,43
0.651786,"Robinson, Leonard",73,39
0.651786,"Crawford, Lavell",73,39
0.651685,"Hughley, D.L.",290,155
0.650538,"Washington, Denzel",363,195
0.65036,"Cedric the Entertainer",452,243
0.65,"Willis, Bruce",338,182
0.649123,"Maron, Marc",148,80
0.648148,"Suchבnek, Michal (II)",140,76
0.647727,"Sachs, John",114,62
0.647436,"Keaton, Michael",202,110
0.647436,"Fierstein, Harvey",101,55
0.647239,"Mandvi, Aasif",211,115
0.647059,"Levy, Dan (I)",66,36
0.647059,"Caine, Michael (I)",319,174
0.646512,"Rivron, Rowland",139,76
0.646018,"Cusack, John (I)",146,80
0.645914,"Boszhard, Carlo",166,91
0.645455,"Kennedy, Gordon (III)",71,39
0.64539,"Haff, Allen Lee",91,50
0.645161,"Norvell, Jake",80,44
0.645161,"Denman, Tony",80,44
0.645102,"Brosnan, Pierce",349,192
0.64497,"Kusnetzoff, Andy",109,60
0.644231,"Ryan, Beau (I)",67,37
0.644144,"Kinnear, Greg (I)",143,79
0.643836,"Gottfried, Gilbert",564,312
0.643498,"Kanie, Keizפ",287,159
0.643312,"Settman, Peter",101,56
0.642857,"Van Damme, Jean-Claude",117,65
0.642857,"Redford, Robert (I)",198,110
0.642353,"Meyers, Seth (I)",546,304
0.641905,"Corddry, Rob",337,188
0.64186,"Dennis, Hugh (I)",276,154
0.641791,"Luchini, Fabrice",129,72
0.641656,"Ferrell, Will (I)",496,277
0.639456,"Gooding Jr., Cuba",188,106
0.639423,"Godfrey",133,75
0.639344,"Demaison, Franחois-Xavier",78,44
